dtr_bin,model,n,rmse,mae,mbe,r2
<10,M0_DSSAT,898,1.6874,1.1937,0.2746,0.9337
<10,M1_PL_XJ,898,1.619,1.1915,0.1287,0.9351
<10,M2_PLXJ_DTR_COOL,898,1.619,1.1915,0.1287,0.9351
10-<15,M0_DSSAT,4044,2.3979,1.6279,0.1385,0.8553
10-<15,M1_PL_XJ,4044,2.3166,1.6695,-0.0575,0.8559
10-<15,M2_PLXJ_DTR_COOL,4044,2.3114,1.6669,-0.0646,0.8563
15-<18,M0_DSSAT,856,4.8348,3.5154,1.1197,0.5957
15-<18,M1_PL_XJ,856,4.5717,3.4039,0.8552,0.605
15-<18,M2_PLXJ_DTR_COOL,856,4.2906,3.3694,-0.1625,0.604
18-<20,M0_DSSAT,72,6.29,4.947,1.3515,0.3466
18-<20,M1_PL_XJ,72,5.8092,4.686,1.0095,0.3748
18-<20,M2_PLXJ_DTR_COOL,72,5.532,4.4427,-1.5245,0.3315
>=20,M0_DSSAT,47,7.6018,6.4208,2.7766,0.2119
>=20,M1_PL_XJ,47,7.0254,5.9825,2.4613,0.2361
>=20,M2_PLXJ_DTR_COOL,47,6.4883,5.4767,-1.1388,0.1264
